RNAP,x,t
5580,0.0,4901.1
558,0.0,4901.1
2511,0.0,4901.1
4464,0.0,4901.1
1395,0.0,4901.1
3348,0.0,4901.1
5301,0.06,4901.1
279,0.68,4901.1
2232,0.0,4901.1
4185,0.04,4901.1
1116,0.0,4901.1
3069,0.02,4901.1
5022,0.0,4901.1
0,0.0,5002.47
1953,0.0,5002.47
3906,0.183673469388,5002.47
837,0.0,5002.47
2790,0.0,5002.47
4743,0.0204081632653,5002.47
1674,0.0,5002.47
3627,0.0,5002.47
5580,0.0204081632653,5002.47
558,0.0,5002.47
2511,0.0,5002.47
4464,0.0204081632653,5002.47
1395,0.0,5002.47
3348,0.0204081632653,5002.47
5301,0.0204081632653,5002.47
279,0.69387755102,5002.47
2232,0.0204081632653,5002.47
4185,0.0,5002.47
1116,0.0,5002.47
3069,0.0,5002.47
5022,0.0,5002.47
0,0.0,5100.23
1953,0.0,5100.23
3906,0.212765957447,5100.23
837,0.0,5100.23
2790,0.0,5100.23
4743,0.0212765957447,5100.23
1674,0.0,5100.23
3627,0.0,5100.23
5580,0.0,5100.23
558,0.0,5100.23
2511,0.0212765957447,5100.23
4464,0.0,5100.23
1395,0.0,5100.23
3348,0.0,5100.23
5301,0.0,5100.23
279,0.723404255319,5100.23
2232,0.0,5100.23
4185,0.0,5100.23
1116,0.0,5100.23
3069,0.0,5100.23
